# Trace from filein = ./62270a01                                                                                                                   
#   time        TI0                                                                                                                          
   2.5201E+00   1.6616E+00
   2.5205E+00   1.6617E+00
   2.5213E+00   1.6617E+00
   2.5225E+00   1.6616E+00
   2.5241E+00   1.6614E+00
   2.5249E+00   1.6613E+00
   2.5264E+00   1.6610E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5284E+00   1.6605E+00
   2.5285E+00   1.6605E+00
   2.5285E+00   1.6606E+00
   2.5286E+00   1.6606E+00
   2.5287E+00   1.6607E+00
   2.5289E+00   1.6608E+00
   2.5290E+00   1.6609E+00
   2.5292E+00   1.6610E+00
   2.5292E+00   1.6610E+00
   2.5293E+00   1.6611E+00
   2.5293E+00   1.6611E+00
   2.5293E+00   1.6611E+00
   2.5293E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5294E+00   1.6611E+00
   2.5295E+00   1.6611E+00
   2.5295E+00   1.6611E+00
   2.5296E+00   1.6611E+00
   2.5297E+00   1.6611E+00
   2.5299E+00   1.6610E+00
   2.5302E+00   1.6610E+00
   2.5305E+00   1.6610E+00
   2.5308E+00   1.6609E+00
   2.5312E+00   1.6609E+00
   2.5315E+00   1.6608E+00
   2.5320E+00   1.6608E+00
   2.5326E+00   1.6608E+00
   2.5335E+00   1.6608E+00
   2.5351E+00   1.6609E+00
   2.5379E+00   1.6618E+00
   2.5426E+00   1.6643E+00
   2.5501E+00   1.6691E+00
   2.5576E+00   1.6736E+00
   2.5578E+00   1.6745E+00
   2.5578E+00   1.6747E+00
   2.5578E+00   1.6748E+00
   2.5578E+00   1.6749E+00
   2.5578E+00   1.6751E+00
   2.5578E+00   1.6752E+00
   2.5578E+00   1.6753E+00
   2.5578E+00   1.6755E+00
   2.5578E+00   1.6757E+00
   2.5578E+00   1.6759E+00
   2.5578E+00   1.6762E+00
   2.5578E+00   1.6765E+00
   2.5578E+00   1.6769E+00
   2.5578E+00   1.6772E+00
   2.5578E+00   1.6774E+00
   2.5578E+00   1.6776E+00
   2.5578E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5579E+00   1.6776E+00
   2.5580E+00   1.6776E+00
   2.5580E+00   1.6776E+00
   2.5580E+00   1.6776E+00
   2.5580E+00   1.6777E+00
   2.5580E+00   1.6777E+00
   2.5580E+00   1.6776E+00
   2.5580E+00   1.6776E+00
   2.5580E+00   1.6777E+00
   2.5581E+00   1.6777E+00
   2.5581E+00   1.6777E+00
   2.5582E+00   1.6778E+00
   2.5583E+00   1.6778E+00
   2.5584E+00   1.6779E+00
