# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.5201E+00   1.9003E+00
   2.5205E+00   1.9003E+00
   2.5213E+00   1.9004E+00
   2.5225E+00   1.9003E+00
   2.5241E+00   1.9003E+00
   2.5249E+00   1.9003E+00
   2.5264E+00   1.9003E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5284E+00   1.9002E+00
   2.5285E+00   1.9002E+00
   2.5285E+00   1.9002E+00
   2.5286E+00   1.9002E+00
   2.5287E+00   1.9001E+00
   2.5289E+00   1.9000E+00
   2.5290E+00   1.8999E+00
   2.5292E+00   1.8998E+00
   2.5292E+00   1.8997E+00
   2.5293E+00   1.8997E+00
   2.5293E+00   1.8997E+00
   2.5293E+00   1.8997E+00
   2.5293E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5294E+00   1.8996E+00
   2.5295E+00   1.8996E+00
   2.5295E+00   1.8996E+00
   2.5296E+00   1.8996E+00
   2.5297E+00   1.8997E+00
   2.5299E+00   1.8997E+00
   2.5302E+00   1.8997E+00
   2.5305E+00   1.8998E+00
   2.5308E+00   1.8998E+00
   2.5312E+00   1.8999E+00
   2.5315E+00   1.9000E+00
   2.5320E+00   1.9001E+00
   2.5326E+00   1.9002E+00
   2.5335E+00   1.9003E+00
   2.5351E+00   1.9007E+00
   2.5379E+00   1.9017E+00
   2.5426E+00   1.9041E+00
   2.5501E+00   1.9088E+00
   2.5576E+00   1.9134E+00
   2.5578E+00   1.9132E+00
   2.5578E+00   1.9132E+00
   2.5578E+00   1.9132E+00
   2.5578E+00   1.9131E+00
   2.5578E+00   1.9131E+00
   2.5578E+00   1.9130E+00
   2.5578E+00   1.9130E+00
   2.5578E+00   1.9129E+00
   2.5578E+00   1.9129E+00
   2.5578E+00   1.9128E+00
   2.5578E+00   1.9127E+00
   2.5578E+00   1.9126E+00
   2.5578E+00   1.9125E+00
   2.5578E+00   1.9124E+00
   2.5578E+00   1.9123E+00
   2.5578E+00   1.9123E+00
   2.5578E+00   1.9123E+00
   2.5579E+00   1.9123E+00
   2.5579E+00   1.9123E+00
   2.5579E+00   1.9123E+00
   2.5579E+00   1.9123E+00
   2.5579E+00   1.9123E+00
   2.5579E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5580E+00   1.9124E+00
   2.5581E+00   1.9124E+00
   2.5581E+00   1.9125E+00
   2.5582E+00   1.9125E+00
   2.5583E+00   1.9125E+00
   2.5584E+00   1.9126E+00
   2.5585E+00   1.9126E+00
   2.5586E+00   1.9127E+00
   2.5588E+00   1.9128E+00
   2.5590E+00   1.9129E+00
   2.5593E+00   1.9127E+00
   2.5599E+00   1.9124E+00
   2.5599E+00   1.9123E+00
   2.5600E+00   1.9123E+00
   2.5601E+00   1.9122E+00
   2.5602E+00   1.9122E+00
   2.5603E+00   1.9121E+00
   2.5605E+00   1.9119E+00
   2.5605E+00   1.9119E+00
   2.5605E+00   1.9119E+00
   2.5605E+00   1.9120E+00
   2.5605E+00   1.9120E+00
   2.5605E+00   1.9120E+00
   2.5606E+00   1.9119E+00
   2.5607E+00   1.9119E+00
   2.5608E+00   1.9118E+00
   2.5610E+00   1.9116E+00
   2.5614E+00   1.9114E+00
   2.5621E+00   1.9110E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
   2.5633E+00   1.9103E+00
