# Trace from filein = ./62270a01                                                                                                                   
#   time        POHT                                                                                                                         
   2.5201E+00   1.7004E-01
   2.5205E+00   1.7038E-01
   2.5213E+00   1.7050E-01
   2.5225E+00   1.7067E-01
   2.5241E+00   1.7076E-01
   2.5249E+00   1.7088E-01
   2.5264E+00   1.7091E-01
   2.5284E+00   1.7084E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7077E-01
   2.5284E+00   1.7076E-01
   2.5284E+00   1.7075E-01
   2.5284E+00   1.7074E-01
   2.5285E+00   1.7072E-01
   2.5285E+00   1.7070E-01
   2.5286E+00   1.7069E-01
   2.5287E+00   1.7069E-01
   2.5289E+00   1.7069E-01
   2.5290E+00   1.7069E-01
   2.5292E+00   1.7065E-01
   2.5292E+00   1.7067E-01
   2.5293E+00   1.7063E-01
   2.5293E+00   1.7066E-01
   2.5293E+00   1.7065E-01
   2.5293E+00   1.7066E-01
   2.5294E+00   1.7066E-01
   2.5294E+00   1.7067E-01
   2.5294E+00   1.7067E-01
   2.5294E+00   1.7067E-01
   2.5294E+00   1.7066E-01
   2.5294E+00   1.7067E-01
   2.5294E+00   1.7065E-01
   2.5294E+00   1.7067E-01
   2.5295E+00   1.7069E-01
   2.5295E+00   1.7066E-01
   2.5296E+00   1.7065E-01
   2.5297E+00   1.7065E-01
   2.5299E+00   1.7065E-01
   2.5302E+00   1.7066E-01
   2.5305E+00   1.7066E-01
   2.5308E+00   1.7067E-01
   2.5312E+00   1.7066E-01
   2.5315E+00   1.7066E-01
   2.5320E+00   1.7066E-01
   2.5326E+00   1.7066E-01
   2.5335E+00   1.7065E-01
   2.5351E+00   1.7063E-01
   2.5379E+00   1.7056E-01
   2.5426E+00   1.7043E-01
   2.5501E+00   1.7012E-01
   2.5576E+00   1.6977E-01
   2.5578E+00   1.6952E-01
   2.5578E+00   1.6953E-01
   2.5578E+00   1.6957E-01
   2.5578E+00   1.6962E-01
   2.5578E+00   1.6968E-01
   2.5578E+00   1.6973E-01
   2.5578E+00   1.6979E-01
   2.5578E+00   1.6985E-01
   2.5578E+00   1.6993E-01
   2.5578E+00   1.7002E-01
   2.5578E+00   1.7013E-01
   2.5578E+00   1.7026E-01
   2.5578E+00   1.7041E-01
   2.5578E+00   1.7058E-01
   2.5578E+00   1.7070E-01
   2.5578E+00   1.7080E-01
   2.5578E+00   1.7083E-01
   2.5579E+00   1.7081E-01
   2.5579E+00   1.7079E-01
   2.5579E+00   1.7074E-01
   2.5579E+00   1.7071E-01
   2.5579E+00   1.7069E-01
   2.5579E+00   1.7067E-01
   2.5580E+00   1.7068E-01
   2.5580E+00   1.7071E-01
   2.5580E+00   1.7072E-01
   2.5580E+00   1.7074E-01
   2.5580E+00   1.7075E-01
   2.5580E+00   1.7074E-01
   2.5580E+00   1.7073E-01
   2.5580E+00   1.7071E-01
   2.5581E+00   1.7071E-01
   2.5581E+00   1.7071E-01
   2.5582E+00   1.7073E-01
   2.5583E+00   1.7075E-01
   2.5584E+00   1.7077E-01
   2.5585E+00   1.7077E-01
   2.5586E+00   1.7077E-01
   2.5588E+00   1.7078E-01
   2.5590E+00   1.7073E-01
   2.5593E+00   1.7068E-01
   2.5599E+00   1.7063E-01
   2.5599E+00   1.7058E-01
   2.5600E+00   1.7058E-01
   2.5601E+00   1.7059E-01
   2.5602E+00   1.7054E-01
   2.5603E+00   1.7056E-01
   2.5605E+00   1.7053E-01
   2.5605E+00   1.7055E-01
   2.5605E+00   1.7056E-01
   2.5605E+00   1.7055E-01
   2.5605E+00   1.7053E-01
   2.5605E+00   1.7050E-01
   2.5606E+00   1.7048E-01
   2.5607E+00   1.7047E-01
   2.5608E+00   1.7047E-01
   2.5610E+00   1.7047E-01
   2.5614E+00   1.7048E-01
   2.5621E+00   1.7048E-01
   2.5633E+00   1.7043E-01
   2.5633E+00   1.7040E-01
   2.5633E+00   1.7039E-01
   2.5633E+00   1.7039E-01
   2.5633E+00   1.7039E-01
   2.5633E+00   1.7039E-01
   2.5633E+00   1.7039E-01
   2.5633E+00   1.7038E-01
   2.5633E+00   1.7037E-01
   2.5633E+00   1.7035E-01
   2.5633E+00   1.7033E-01
   2.5633E+00   1.7030E-01
   2.5634E+00   1.7028E-01
   2.5635E+00   1.7026E-01
   2.5636E+00   1.7024E-01
   2.5636E+00   1.7021E-01
   2.5636E+00   1.7020E-01
   2.5636E+00   1.7020E-01
   2.5636E+00   1.7020E-01
   2.5636E+00   1.7019E-01
   2.5637E+00   1.7018E-01
   2.5637E+00   1.7016E-01
   2.5637E+00   1.7013E-01
   2.5638E+00   1.7012E-01
   2.5638E+00   1.7011E-01
   2.5639E+00   1.7012E-01
   2.5640E+00   1.7013E-01
   2.5643E+00   1.7015E-01
   2.5646E+00   1.7017E-01
   2.5652E+00   1.7018E-01
   2.5663E+00   1.7017E-01
