# Trace from filein = ./62270a01                                                                                                                   
#   time        WTOT                                                                                                                         
   2.5201E+00   2.9763E-02
   2.5205E+00   2.9762E-02
   2.5213E+00   2.9762E-02
   2.5225E+00   2.9763E-02
   2.5241E+00   2.9766E-02
   2.5249E+00   2.9767E-02
   2.5264E+00   2.9770E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5284E+00   2.9773E-02
   2.5285E+00   2.9774E-02
   2.5285E+00   2.9774E-02
   2.5286E+00   2.9775E-02
   2.5287E+00   2.9775E-02
   2.5289E+00   2.9777E-02
   2.5290E+00   2.9778E-02
   2.5292E+00   2.9779E-02
   2.5292E+00   2.9779E-02
   2.5293E+00   2.9780E-02
   2.5293E+00   2.9780E-02
   2.5293E+00   2.9780E-02
   2.5293E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9780E-02
   2.5294E+00   2.9781E-02
   2.5294E+00   2.9781E-02
   2.5295E+00   2.9782E-02
   2.5295E+00   2.9783E-02
   2.5296E+00   2.9784E-02
   2.5297E+00   2.9787E-02
   2.5299E+00   2.9791E-02
   2.5302E+00   2.9796E-02
   2.5305E+00   2.9801E-02
   2.5308E+00   2.9808E-02
   2.5312E+00   2.9814E-02
   2.5315E+00   2.9822E-02
   2.5320E+00   2.9831E-02
   2.5326E+00   2.9842E-02
   2.5335E+00   2.9858E-02
   2.5351E+00   2.9885E-02
   2.5379E+00   2.9926E-02
   2.5426E+00   2.9987E-02
   2.5501E+00   3.0066E-02
   2.5576E+00   3.0141E-02
   2.5578E+00   3.0149E-02
   2.5578E+00   3.0150E-02
   2.5578E+00   3.0151E-02
   2.5578E+00   3.0152E-02
   2.5578E+00   3.0153E-02
   2.5578E+00   3.0154E-02
   2.5578E+00   3.0155E-02
   2.5578E+00   3.0156E-02
   2.5578E+00   3.0158E-02
   2.5578E+00   3.0160E-02
   2.5578E+00   3.0162E-02
   2.5578E+00   3.0165E-02
   2.5578E+00   3.0167E-02
   2.5578E+00   3.0170E-02
   2.5578E+00   3.0172E-02
   2.5578E+00   3.0173E-02
   2.5578E+00   3.0173E-02
   2.5579E+00   3.0173E-02
   2.5579E+00   3.0173E-02
   2.5579E+00   3.0173E-02
   2.5579E+00   3.0173E-02
   2.5579E+00   3.0174E-02
   2.5579E+00   3.0174E-02
   2.5580E+00   3.0175E-02
   2.5580E+00   3.0176E-02
   2.5580E+00   3.0178E-02
   2.5580E+00   3.0179E-02
   2.5580E+00   3.0179E-02
   2.5580E+00   3.0179E-02
   2.5580E+00   3.0179E-02
   2.5580E+00   3.0180E-02
   2.5581E+00   3.0182E-02
   2.5581E+00   3.0184E-02
   2.5582E+00   3.0188E-02
   2.5583E+00   3.0193E-02
   2.5584E+00   3.0198E-02
   2.5585E+00   3.0204E-02
   2.5586E+00   3.0212E-02
   2.5588E+00   3.0220E-02
   2.5590E+00   3.0231E-02
   2.5593E+00   3.0226E-02
   2.5599E+00   3.0218E-02
   2.5599E+00   3.0218E-02
   2.5600E+00   3.0217E-02
   2.5601E+00   3.0216E-02
   2.5602E+00   3.0215E-02
   2.5603E+00   3.0213E-02
   2.5605E+00   3.0211E-02
   2.5605E+00   3.0211E-02
   2.5605E+00   3.0211E-02
   2.5605E+00   3.0211E-02
   2.5605E+00   3.0211E-02
   2.5605E+00   3.0211E-02
   2.5606E+00   3.0210E-02
   2.5607E+00   3.0209E-02
   2.5608E+00   3.0207E-02
   2.5610E+00   3.0204E-02
   2.5614E+00   3.0198E-02
   2.5621E+00   3.0188E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5633E+00   3.0171E-02
   2.5634E+00   3.0172E-02
   2.5635E+00   3.0173E-02
   2.5636E+00   3.0175E-02
   2.5636E+00   3.0175E-02
   2.5636E+00   3.0176E-02
   2.5636E+00   3.0176E-02
   2.5636E+00   3.0176E-02
   2.5636E+00   3.0176E-02
   2.5637E+00   3.0176E-02
   2.5637E+00   3.0176E-02
   2.5637E+00   3.0177E-02
   2.5638E+00   3.0178E-02
   2.5638E+00   3.0181E-02
   2.5639E+00   3.0184E-02
   2.5640E+00   3.0188E-02
   2.5643E+00   3.0194E-02
   2.5646E+00   3.0205E-02
   2.5652E+00   3.0222E-02
   2.5663E+00   3.0249E-02
   2.5675E+00   3.0275E-02
   2.5677E+00   3.0280E-02
   2.5680E+00   3.0290E-02
   2.5686E+00   3.0304E-02
   2.5690E+00   3.0314E-02
   2.5695E+00   3.0328E-02
   2.5704E+00   3.0347E-02
   2.5719E+00   3.0377E-02
   2.5744E+00   3.0421E-02
   2.5788E+00   3.0484E-02
   2.5837E+00   3.0519E-02
   2.5838E+00   3.0522E-02
   2.5839E+00   3.0522E-02
   2.5839E+00   3.0523E-02
   2.5839E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5840E+00   3.0523E-02
   2.5841E+00   3.0523E-02
   2.5842E+00   3.0523E-02
   2.5843E+00   3.0524E-02
   2.5844E+00   3.0526E-02
   2.5847E+00   3.0527E-02
   2.5849E+00   3.0529E-02
   2.5851E+00   3.0530E-02
   2.5853E+00   3.0532E-02
   2.5857E+00   3.0531E-02
   2.5859E+00   3.0531E-02
   2.5861E+00   3.0530E-02
   2.5865E+00   3.0530E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5869E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0529E-02
   2.5870E+00   3.0530E-02
   2.5871E+00   3.0531E-02
   2.5872E+00   3.0533E-02
   2.5873E+00   3.0535E-02
   2.5874E+00   3.0539E-02
   2.5876E+00   3.0576E-02
   2.5879E+00   3.0617E-02
   2.5884E+00   3.0670E-02
   2.5884E+00   3.0672E-02
   2.5885E+00   3.0672E-02
   2.5885E+00   3.0672E-02
   2.5885E+00   3.0672E-02
   2.5885E+00   3.0672E-02
   2.5885E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5886E+00   3.0672E-02
   2.5887E+00   3.0672E-02
   2.5887E+00   3.0673E-02
   2.5888E+00   3.0677E-02
   2.5889E+00   3.0686E-02
   2.5890E+00   3.0698E-02
   2.5891E+00   3.0698E-02
   2.5892E+00   3.0699E-02
   2.5892E+00   3.0700E-02
   2.5893E+00   3.0700E-02
   2.5895E+00   3.0701E-02
   2.5898E+00   3.0703E-02
   2.5904E+00   3.0704E-02
   2.5913E+00   3.0703E-02
   2.5929E+00   3.0711E-02
   2.5957E+00   3.0693E-02
   2.6006E+00   3.0659E-02
   2.6077E+00   3.0670E-02
   2.6152E+00   3.0638E-02
   2.6227E+00   3.0528E-02
   2.6302E+00   3.0405E-02
   2.6377E+00   3.0318E-02
   2.6452E+00   3.0210E-02
   2.6527E+00   3.0047E-02
   2.6602E+00   2.9898E-02
   2.6677E+00   2.9762E-02
   2.6752E+00   2.9624E-02
   2.6753E+00   2.9623E-02
   2.6753E+00   2.9622E-02
   2.6753E+00   2.9622E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9621E-02
   2.6753E+00   2.9620E-02
   2.6753E+00   2.9620E-02
   2.6753E+00   2.9619E-02
   2.6753E+00   2.9618E-02
   2.6753E+00   2.9618E-02
   2.6753E+00   2.9617E-02
   2.6753E+00   2.9616E-02
   2.6753E+00   2.9615E-02
   2.6753E+00   2.9613E-02
   2.6753E+00   2.9611E-02
   2.6753E+00   2.9608E-02
   2.6753E+00   2.9606E-02
   2.6753E+00   2.9603E-02
   2.6753E+00   2.9600E-02
   2.6753E+00   2.9596E-02
   2.6753E+00   2.9593E-02
   2.6753E+00   2.9589E-02
   2.6754E+00   2.9587E-02
   2.6754E+00   2.9586E-02
   2.6754E+00   2.9587E-02
   2.6754E+00   2.9587E-02
   2.6755E+00   2.9587E-02
   2.6755E+00   2.9586E-02
   2.6755E+00   2.9586E-02
   2.6755E+00   2.9585E-02
   2.6755E+00   2.9585E-02
   2.6755E+00   2.9584E-02
   2.6756E+00   2.9584E-02
   2.6756E+00   2.9583E-02
   2.6756E+00   2.9583E-02
   2.6757E+00   2.9583E-02
   2.6757E+00   2.9583E-02
   2.6757E+00   2.9583E-02
   2.6757E+00   2.9583E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6757E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9582E-02
   2.6758E+00   2.9583E-02
   2.6758E+00   2.9583E-02
   2.6758E+00   2.9583E-02
   2.6758E+00   2.9583E-02
   2.6758E+00   2.9583E-02
   2.6759E+00   2.9583E-02
   2.6759E+00   2.9582E-02
   2.6759E+00   2.9582E-02
   2.6759E+00   2.9582E-02
   2.6760E+00   2.9582E-02
   2.6760E+00   2.9581E-02
   2.6760E+00   2.9581E-02
   2.6760E+00   2.9580E-02
   2.6760E+00   2.9580E-02
   2.6760E+00   2.9580E-02
   2.6760E+00   2.9580E-02
   2.6760E+00   2.9580E-02
   2.6761E+00   2.9580E-02
   2.6761E+00   2.9579E-02
   2.6761E+00   2.9579E-02
   2.6761E+00   2.9579E-02
   2.6761E+00   2.9579E-02
   2.6762E+00   2.9578E-02
   2.6762E+00   2.9578E-02
   2.6763E+00   2.9576E-02
   2.6764E+00   2.9574E-02
   2.6766E+00   2.9571E-02
   2.6769E+00   2.9568E-02
   2.6774E+00   2.9564E-02
   2.6780E+00   2.9558E-02
   2.6783E+00   2.9555E-02
   2.6787E+00   2.9553E-02
   2.6792E+00   2.9549E-02
   2.6800E+00   2.9546E-02
   2.6812E+00   2.9543E-02
   2.6832E+00   2.9543E-02
   2.6833E+00   2.9543E-02
   2.6834E+00   2.9543E-02
   2.6834E+00   2.9543E-02
   2.6834E+00   2.9543E-02
   2.6834E+00   2.9543E-02
   2.6834E+00   2.9543E-02
   2.6834E+00   2.9544E-02
   2.6834E+00   2.9544E-02
   2.6834E+00   2.9544E-02
   2.6834E+00   2.9544E-02
   2.6835E+00   2.9545E-02
   2.6835E+00   2.9545E-02
   2.6835E+00   2.9545E-02
   2.6835E+00   2.9545E-02
   2.6836E+00   2.9546E-02
   2.6836E+00   2.9547E-02
   2.6837E+00   2.9548E-02
   2.6837E+00   2.9550E-02
   2.6838E+00   2.9553E-02
   2.6839E+00   2.9555E-02
   2.6841E+00   2.9560E-02
   2.6844E+00   2.9566E-02
   2.6848E+00   2.9574E-02
   2.6853E+00   2.9585E-02
   2.6858E+00   2.9597E-02
   2.6867E+00   2.9614E-02
   2.6880E+00   2.9640E-02
   2.6880E+00   2.9641E-02
   2.6880E+00   2.9642E-02
   2.6880E+00   2.9644E-02
   2.6881E+00   2.9642E-02
   2.6881E+00   2.9642E-02
   2.6881E+00   2.9642E-02
   2.6881E+00   2.9641E-02
   2.6881E+00   2.9640E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9639E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6881E+00   2.9638E-02
   2.6882E+00   2.9639E-02
   2.6882E+00   2.9639E-02
   2.6882E+00   2.9639E-02
   2.6882E+00   2.9639E-02
   2.6883E+00   2.9639E-02
   2.6883E+00   2.9639E-02
   2.6883E+00   2.9639E-02
   2.6883E+00   2.9639E-02
   2.6883E+00   2.9640E-02
   2.6884E+00   2.9640E-02
   2.6884E+00   2.9640E-02
   2.6885E+00   2.9641E-02
   2.6886E+00   2.9640E-02
   2.6887E+00   2.9639E-02
   2.6888E+00   2.9639E-02
   2.6889E+00   2.9638E-02
   2.6890E+00   2.9638E-02
   2.6892E+00   2.9637E-02
   2.6895E+00   2.9636E-02
   2.6898E+00   2.9635E-02
   2.6903E+00   2.9634E-02
   2.6909E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6916E+00   2.9634E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6917E+00   2.9633E-02
   2.6918E+00   2.9632E-02
   2.6918E+00   2.9632E-02
   2.6919E+00   2.9631E-02
   2.6921E+00   2.9635E-02
   2.6923E+00   2.9643E-02
   2.6923E+00   2.9643E-02
   2.6923E+00   2.9644E-02
   2.6924E+00   2.9645E-02
   2.6924E+00   2.9646E-02
   2.6924E+00   2.9647E-02
   2.6925E+00   2.9649E-02
   2.6925E+00   2.9652E-02
   2.6927E+00   2.9657E-02
   2.6929E+00   2.9666E-02
   2.6930E+00   2.9667E-02
   2.6930E+00   2.9668E-02
   2.6931E+00   2.9670E-02
   2.6932E+00   2.9674E-02
   2.6933E+00   2.9680E-02
   2.6936E+00   2.9689E-02
   2.6941E+00   2.9705E-02
   2.6950E+00   2.9731E-02
   2.6965E+00   2.9770E-02
   2.6992E+00   2.9808E-02
   2.7038E+00   2.9863E-02
   2.7113E+00   2.9934E-02
   2.7113E+00   2.9935E-02
   2.7113E+00   2.9935E-02
   2.7113E+00   2.9936E-02
   2.7113E+00   2.9936E-02
   2.7113E+00   2.9936E-02
   2.7113E+00   2.9937E-02
   2.7113E+00   2.9937E-02
   2.7113E+00   2.9938E-02
   2.7113E+00   2.9939E-02
   2.7113E+00   2.9941E-02
   2.7113E+00   2.9942E-02
   2.7113E+00   2.9944E-02
   2.7113E+00   2.9946E-02
   2.7113E+00   2.9949E-02
   2.7113E+00   2.9953E-02
   2.7113E+00   2.9957E-02
   2.7113E+00   2.9960E-02
   2.7113E+00   2.9960E-02
   2.7114E+00   2.9960E-02
   2.7114E+00   2.9960E-02
   2.7114E+00   2.9960E-02
   2.7114E+00   2.9959E-02
   2.7115E+00   2.9959E-02
   2.7115E+00   2.9959E-02
   2.7115E+00   2.9959E-02
   2.7115E+00   2.9959E-02
   2.7116E+00   2.9959E-02
   2.7116E+00   2.9959E-02
   2.7116E+00   2.9959E-02
   2.7116E+00   2.9959E-02
   2.7116E+00   2.9959E-02
   2.7117E+00   2.9959E-02
   2.7117E+00   2.9960E-02
   2.7117E+00   2.9960E-02
   2.7117E+00   2.9960E-02
   2.7117E+00   2.9960E-02
   2.7118E+00   2.9960E-02
   2.7118E+00   2.9959E-02
   2.7118E+00   2.9958E-02
   2.7119E+00   2.9957E-02
   2.7120E+00   2.9955E-02
   2.7121E+00   2.9953E-02
   2.7122E+00   2.9951E-02
   2.7123E+00   2.9948E-02
   2.7124E+00   2.9946E-02
   2.7125E+00   2.9945E-02
   2.7126E+00   2.9942E-02
   2.7129E+00   2.9937E-02
   2.7133E+00   2.9929E-02
   2.7140E+00   2.9916E-02
   2.7153E+00   2.9897E-02
   2.7176E+00   2.9868E-02
   2.7190E+00   2.9851E-02
   2.7208E+00   2.9831E-02
   2.7234E+00   2.9807E-02
   2.7274E+00   2.9778E-02
   2.7343E+00   2.9740E-02
   2.7343E+00   2.9741E-02
   2.7343E+00   2.9742E-02
   2.7343E+00   2.9742E-02
   2.7343E+00   2.9742E-02
   2.7343E+00   2.9742E-02
   2.7343E+00   2.9743E-02
   2.7343E+00   2.9743E-02
   2.7343E+00   2.9744E-02
   2.7343E+00   2.9745E-02
   2.7343E+00   2.9746E-02
   2.7343E+00   2.9747E-02
   2.7343E+00   2.9748E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9749E-02
   2.7343E+00   2.9750E-02
   2.7343E+00   2.9750E-02
   2.7343E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7344E+00   2.9750E-02
   2.7345E+00   2.9750E-02
   2.7345E+00   2.9750E-02
   2.7346E+00   2.9749E-02
   2.7347E+00   2.9749E-02
   2.7349E+00   2.9749E-02
   2.7352E+00   2.9749E-02
   2.7356E+00   2.9749E-02
   2.7364E+00   2.9750E-02
   2.7364E+00   2.9750E-02
   2.7364E+00   2.9750E-02
   2.7364E+00   2.9750E-02
   2.7364E+00   2.9751E-02
   2.7364E+00   2.9752E-02
   2.7364E+00   2.9752E-02
   2.7364E+00   2.9752E-02
   2.7364E+00   2.9752E-02
   2.7365E+00   2.9753E-02
   2.7365E+00   2.9754E-02
   2.7366E+00   2.9757E-02
   2.7368E+00   2.9763E-02
   2.7371E+00   2.9771E-02
   2.7376E+00   2.9785E-02
   2.7384E+00   2.9805E-02
   2.7384E+00   2.9806E-02
   2.7384E+00   2.9807E-02
   2.7384E+00   2.9807E-02
   2.7384E+00   2.9807E-02
   2.7384E+00   2.9807E-02
   2.7385E+00   2.9807E-02
   2.7385E+00   2.9808E-02
   2.7385E+00   2.9808E-02
   2.7385E+00   2.9808E-02
   2.7385E+00   2.9808E-02
   2.7385E+00   2.9809E-02
