# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.0109E+00   9.7484E-01
   2.0109E+00   9.7484E-01
   2.0109E+00   9.7484E-01
   2.0109E+00   9.7484E-01
   2.0109E+00   9.7484E-01
   2.0110E+00   9.7484E-01
   2.0110E+00   9.7487E-01
   2.0110E+00   9.7489E-01
   2.0111E+00   9.7492E-01
   2.0111E+00   9.7494E-01
   2.0111E+00   9.7496E-01
   2.0111E+00   9.7496E-01
   2.0111E+00   9.7496E-01
   2.0111E+00   9.7496E-01
   2.0112E+00   9.7497E-01
   2.0112E+00   9.7498E-01
   2.0112E+00   9.7500E-01
   2.0112E+00   9.7505E-01
   2.0113E+00   9.7510E-01
   2.0113E+00   9.7517E-01
   2.0114E+00   9.7523E-01
   2.0114E+00   9.7534E-01
   2.0115E+00   9.7560E-01
   2.0117E+00   9.7617E-01
   2.0121E+00   9.7764E-01
   2.0126E+00   9.8073E-01
   2.0126E+00   9.8074E-01
   2.0126E+00   9.8075E-01
   2.0126E+00   9.8075E-01
   2.0126E+00   9.8076E-01
   2.0126E+00   9.8078E-01
   2.0127E+00   9.8080E-01
   2.0127E+00   9.8085E-01
   2.0127E+00   9.8094E-01
   2.0127E+00   9.8110E-01
   2.0128E+00   9.8140E-01
   2.0129E+00   9.8196E-01
   2.0131E+00   9.8302E-01
   2.0135E+00   9.8507E-01
   2.0142E+00   9.8908E-01
   2.0142E+00   9.8909E-01
   2.0142E+00   9.8910E-01
   2.0142E+00   9.8911E-01
   2.0142E+00   9.8912E-01
   2.0142E+00   9.8913E-01
   2.0142E+00   9.8916E-01
   2.0142E+00   9.8922E-01
   2.0142E+00   9.8930E-01
   2.0142E+00   9.8948E-01
   2.0143E+00   9.8982E-01
   2.0144E+00   9.9044E-01
   2.0146E+00   9.9154E-01
   2.0148E+00   9.9350E-01
   2.0154E+00   9.9703E-01
   2.0162E+00   1.0035E+00
   2.0178E+00   1.0155E+00
   2.0204E+00   1.0370E+00
   2.0249E+00   1.0732E+00
   2.0324E+00   1.1254E+00
   2.0399E+00   1.1694E+00
   2.0474E+00   1.2080E+00
   2.0549E+00   1.2421E+00
   2.0624E+00   1.2724E+00
   2.0699E+00   1.2997E+00
   2.0774E+00   1.3244E+00
   2.0849E+00   1.3468E+00
   2.0924E+00   1.2821E+00
   2.0999E+00   1.2967E+00
   2.1074E+00   1.3106E+00
   2.1149E+00   1.3241E+00
   2.1224E+00   1.3373E+00
   2.1299E+00   1.3502E+00
   2.1374E+00   1.3626E+00
   2.1449E+00   1.3745E+00
   2.1524E+00   1.3855E+00
   2.1599E+00   1.3958E+00
   2.1674E+00   1.3271E+00
   2.1749E+00   1.3380E+00
   2.1824E+00   1.3484E+00
   2.1899E+00   1.3587E+00
   2.1974E+00   1.3691E+00
   2.2049E+00   1.3793E+00
   2.2124E+00   1.3894E+00
   2.2199E+00   1.3991E+00
   2.2274E+00   1.4083E+00
   2.2349E+00   1.4247E+00
   2.2423E+00   1.3642E+00
   2.2496E+00   1.3784E+00
   2.2571E+00   1.3927E+00
   2.2646E+00   1.4068E+00
   2.2721E+00   1.4206E+00
   2.2796E+00   1.4343E+00
   2.2871E+00   1.4475E+00
   2.2946E+00   1.4602E+00
   2.3021E+00   1.4722E+00
   2.3096E+00   1.4835E+00
   2.3171E+00   1.4329E+00
   2.3246E+00   1.4395E+00
   2.3321E+00   1.4467E+00
   2.3396E+00   1.4546E+00
   2.3471E+00   1.4629E+00
   2.3546E+00   1.4715E+00
   2.3621E+00   1.4803E+00
   2.3696E+00   1.4870E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
   2.3738E+00   1.4916E+00
