# Trace from filein = ./62270n01                                                                                                                   
#   time        TE0                                                                                                                          
   2.0109E+00   1.2678E+00
   2.0109E+00   1.2679E+00
   2.0109E+00   1.2680E+00
   2.0109E+00   1.2683E+00
   2.0109E+00   1.2688E+00
   2.0110E+00   1.2696E+00
   2.0110E+00   1.2709E+00
   2.0110E+00   1.2720E+00
   2.0111E+00   1.2730E+00
   2.0111E+00   1.2739E+00
   2.0111E+00   1.2745E+00
   2.0111E+00   1.2746E+00
   2.0111E+00   1.2746E+00
   2.0111E+00   1.2747E+00
   2.0112E+00   1.2750E+00
   2.0112E+00   1.2753E+00
   2.0112E+00   1.2759E+00
   2.0112E+00   1.2770E+00
   2.0113E+00   1.2780E+00
   2.0113E+00   1.2792E+00
   2.0114E+00   1.2802E+00
   2.0114E+00   1.2817E+00
   2.0115E+00   1.2845E+00
   2.0117E+00   1.2895E+00
   2.0121E+00   1.2983E+00
   2.0126E+00   1.3134E+00
   2.0126E+00   1.3134E+00
   2.0126E+00   1.3135E+00
   2.0126E+00   1.3135E+00
   2.0126E+00   1.3136E+00
   2.0126E+00   1.3137E+00
   2.0127E+00   1.3139E+00
   2.0127E+00   1.3143E+00
   2.0127E+00   1.3149E+00
   2.0127E+00   1.3159E+00
   2.0128E+00   1.3177E+00
   2.0129E+00   1.3208E+00
   2.0131E+00   1.3262E+00
   2.0135E+00   1.3355E+00
   2.0142E+00   1.3512E+00
   2.0142E+00   1.3512E+00
   2.0142E+00   1.3513E+00
   2.0142E+00   1.3513E+00
   2.0142E+00   1.3514E+00
   2.0142E+00   1.3514E+00
   2.0142E+00   1.3516E+00
   2.0142E+00   1.3519E+00
   2.0142E+00   1.3523E+00
   2.0142E+00   1.3531E+00
   2.0143E+00   1.3544E+00
   2.0144E+00   1.3566E+00
   2.0146E+00   1.3605E+00
   2.0148E+00   1.3672E+00
   2.0154E+00   1.3786E+00
   2.0162E+00   1.3978E+00
   2.0178E+00   1.4288E+00
   2.0204E+00   1.4767E+00
   2.0249E+00   1.5458E+00
   2.0324E+00   1.6334E+00
   2.0399E+00   1.7017E+00
   2.0474E+00   1.7566E+00
   2.0549E+00   1.8014E+00
   2.0624E+00   1.8381E+00
   2.0699E+00   1.8685E+00
   2.0774E+00   1.8936E+00
   2.0849E+00   1.9145E+00
   2.0924E+00   1.7359E+00
   2.0999E+00   1.7654E+00
   2.1074E+00   1.7884E+00
   2.1149E+00   1.8067E+00
   2.1224E+00   1.8215E+00
   2.1299E+00   1.8337E+00
   2.1374E+00   1.8438E+00
   2.1449E+00   1.8520E+00
   2.1524E+00   1.8587E+00
   2.1599E+00   1.8640E+00
   2.1674E+00   1.7128E+00
   2.1749E+00   1.7322E+00
   2.1824E+00   1.7477E+00
   2.1899E+00   1.7603E+00
   2.1974E+00   1.7710E+00
   2.2049E+00   1.7803E+00
   2.2124E+00   1.7883E+00
   2.2199E+00   1.7953E+00
   2.2274E+00   1.8013E+00
   2.2349E+00   1.8134E+00
   2.2423E+00   1.6877E+00
   2.2496E+00   1.7107E+00
   2.2571E+00   1.7306E+00
   2.2646E+00   1.7476E+00
   2.2721E+00   1.7624E+00
   2.2796E+00   1.7756E+00
   2.2871E+00   1.7874E+00
   2.2946E+00   1.7980E+00
   2.3021E+00   1.8074E+00
   2.3096E+00   1.8158E+00
   2.3171E+00   1.6902E+00
   2.3246E+00   1.7105E+00
   2.3321E+00   1.7274E+00
   2.3396E+00   1.7418E+00
   2.3471E+00   1.7543E+00
   2.3546E+00   1.7654E+00
   2.3621E+00   1.7753E+00
   2.3696E+00   1.7819E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3738E+00   1.7854E+00
   2.3739E+00   1.7854E+00
   2.3739E+00   1.7854E+00
   2.3740E+00   1.7854E+00
   2.3742E+00   1.7855E+00
   2.3744E+00   1.7856E+00
   2.3749E+00   1.7859E+00
   2.3757E+00   1.7865E+00
   2.3770E+00   1.7876E+00
   2.3794E+00   1.7893E+00
   2.3833E+00   1.7916E+00
   2.3901E+00   1.6577E+00
   2.3956E+00   1.6721E+00
   2.3985E+00   1.6780E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3985E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6779E+00
   2.3986E+00   1.6778E+00
   2.3986E+00   1.6753E+00
   2.3986E+00   1.6727E+00
   2.3986E+00   1.6697E+00
   2.3986E+00   1.6663E+00
   2.3986E+00   1.6622E+00
   2.3986E+00   1.6573E+00
   2.3986E+00   1.6515E+00
   2.3986E+00   1.6444E+00
   2.3986E+00   1.6356E+00
   2.3986E+00   1.6270E+00
   2.3986E+00   1.6209E+00
   2.3986E+00   1.6180E+00
   2.3986E+00   1.6188E+00
   2.3987E+00   1.6189E+00
   2.3987E+00   1.6190E+00
   2.3987E+00   1.6191E+00
   2.3987E+00   1.6193E+00
   2.3987E+00   1.6193E+00
   2.3987E+00   1.6194E+00
   2.3987E+00   1.6195E+00
   2.3987E+00   1.6196E+00
   2.3987E+00   1.6199E+00
   2.3987E+00   1.6202E+00
   2.3987E+00   1.6206E+00
   2.3987E+00   1.6210E+00
   2.3988E+00   1.6214E+00
   2.3988E+00   1.6218E+00
   2.3988E+00   1.6222E+00
   2.3988E+00   1.6224E+00
   2.3988E+00   1.6225E+00
   2.3988E+00   1.6227E+00
   2.3988E+00   1.6229E+00
   2.3988E+00   1.6232E+00
   2.3989E+00   1.6236E+00
   2.3989E+00   1.6238E+00
   2.3989E+00   1.6239E+00
   2.3989E+00   1.6239E+00
   2.3989E+00   1.6239E+00
   2.3989E+00   1.6240E+00
   2.3989E+00   1.6242E+00
   2.3990E+00   1.6243E+00
   2.3990E+00   1.6247E+00
   2.3990E+00   1.6250E+00
   2.3991E+00   1.6253E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6257E+00
   2.3991E+00   1.6258E+00
   2.3991E+00   1.6258E+00
   2.3991E+00   1.6258E+00
   2.3991E+00   1.6259E+00
   2.3991E+00   1.6260E+00
   2.3991E+00   1.6261E+00
   2.3992E+00   1.6264E+00
   2.3992E+00   1.6267E+00
   2.3993E+00   1.6271E+00
   2.3993E+00   1.6274E+00
   2.3994E+00   1.6278E+00
   2.3994E+00   1.6278E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6279E+00
   2.3994E+00   1.6280E+00
   2.3994E+00   1.6280E+00
   2.3994E+00   1.6280E+00
   2.3994E+00   1.6281E+00
   2.3994E+00   1.6282E+00
   2.3994E+00   1.6282E+00
   2.3994E+00   1.6283E+00
   2.3995E+00   1.6285E+00
   2.3995E+00   1.6287E+00
   2.3995E+00   1.6288E+00
   2.3995E+00   1.6290E+00
   2.3995E+00   1.6292E+00
   2.3996E+00   1.6294E+00
   2.3996E+00   1.6296E+00
   2.3996E+00   1.6298E+00
   2.3997E+00   1.6300E+00
   2.3997E+00   1.6302E+00
   2.3997E+00   1.6305E+00
   2.3997E+00   1.6307E+00
   2.3998E+00   1.6310E+00
   2.3999E+00   1.6317E+00
   2.4000E+00   1.6329E+00
   2.4003E+00   1.6347E+00
   2.4008E+00   1.6377E+00
   2.4011E+00   1.6396E+00
   2.4016E+00   1.6426E+00
   2.4019E+00   1.6442E+00
   2.4024E+00   1.6466E+00
   2.4027E+00   1.6482E+00
   2.4032E+00   1.6508E+00
   2.4035E+00   1.6524E+00
   2.4038E+00   1.6537E+00
   2.4041E+00   1.6553E+00
   2.4044E+00   1.6564E+00
   2.4048E+00   1.6582E+00
   2.4051E+00   1.6595E+00
   2.4056E+00   1.6615E+00
   2.4059E+00   1.6629E+00
   2.4065E+00   1.6651E+00
   2.4065E+00   1.6651E+00
   2.4065E+00   1.6651E+00
   2.4065E+00   1.6652E+00
   2.4065E+00   1.6652E+00
   2.4065E+00   1.6652E+00
   2.4065E+00   1.6652E+00
   2.4065E+00   1.6653E+00
   2.4066E+00   1.6654E+00
   2.4066E+00   1.6656E+00
   2.4067E+00   1.6660E+00
   2.4069E+00   1.6666E+00
   2.4071E+00   1.6676E+00
   2.4076E+00   1.6693E+00
   2.4078E+00   1.6704E+00
   2.4083E+00   1.6723E+00
   2.4087E+00   1.6735E+00
   2.4092E+00   1.6755E+00
   2.4096E+00   1.6770E+00
   2.4099E+00   1.6778E+00
   2.4103E+00   1.6791E+00
   2.4105E+00   1.6800E+00
   2.4109E+00   1.6815E+00
   2.4112E+00   1.6825E+00
   2.4117E+00   1.6841E+00
   2.4121E+00   1.6852E+00
   2.4126E+00   1.6869E+00
   2.4130E+00   1.6881E+00
   2.4132E+00   1.6888E+00
   2.4134E+00   1.6896E+00
   2.4139E+00   1.6910E+00
   2.4141E+00   1.6917E+00
   2.4145E+00   1.6928E+00
   2.4147E+00   1.6935E+00
   2.4151E+00   1.6947E+00
   2.4156E+00   1.6962E+00
   2.4160E+00   1.6974E+00
   2.4162E+00   1.6981E+00
   2.4167E+00   1.6992E+00
   2.4169E+00   1.7000E+00
   2.4174E+00   1.7012E+00
