# Trace from filein = ./62270n01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.0108E+00  -1.4753E-01
   2.0108E+00  -1.4772E-01
   2.0108E+00  -1.4766E-01
   2.0109E+00  -1.4745E-01
   2.0109E+00  -1.4704E-01
   2.0109E+00  -1.4619E-01
   2.0109E+00  -1.4561E-01
   2.0109E+00  -1.4387E-01
   2.0109E+00  -1.4312E-01
   2.0109E+00  -1.4470E-01
   2.0109E+00  -1.4613E-01
   2.0109E+00  -1.4691E-01
   2.0109E+00  -1.4722E-01
   2.0109E+00  -1.4730E-01
   2.0109E+00  -1.4734E-01
   2.0110E+00  -1.4729E-01
   2.0110E+00  -1.4717E-01
   2.0110E+00  -1.4701E-01
   2.0111E+00  -1.4681E-01
   2.0111E+00  -1.4635E-01
   2.0111E+00  -1.4647E-01
   2.0111E+00  -1.4651E-01
   2.0111E+00  -1.4530E-01
   2.0111E+00  -1.4505E-01
   2.0112E+00  -1.4574E-01
   2.0112E+00  -1.4626E-01
   2.0112E+00  -1.4666E-01
   2.0112E+00  -1.4678E-01
   2.0113E+00  -1.4692E-01
   2.0113E+00  -1.4679E-01
   2.0114E+00  -1.4673E-01
   2.0114E+00  -1.4660E-01
   2.0115E+00  -1.4671E-01
   2.0117E+00  -1.4673E-01
   2.0121E+00  -1.4681E-01
   2.0126E+00  -1.4684E-01
   2.0126E+00  -1.4605E-01
   2.0126E+00  -1.4106E-01
   2.0126E+00  -1.4105E-01
   2.0126E+00  -1.4105E-01
   2.0126E+00  -1.4105E-01
   2.0127E+00  -1.4105E-01
   2.0127E+00  -1.4196E-01
   2.0127E+00  -1.4393E-01
   2.0127E+00  -1.4537E-01
   2.0128E+00  -1.4597E-01
   2.0129E+00  -1.4624E-01
   2.0131E+00  -1.4622E-01
   2.0135E+00  -1.4623E-01
   2.0142E+00  -1.4616E-01
   2.0142E+00  -1.4527E-01
   2.0142E+00  -1.4050E-01
   2.0142E+00  -1.4050E-01
   2.0142E+00  -1.4050E-01
   2.0142E+00  -1.4050E-01
   2.0142E+00  -1.4049E-01
   2.0142E+00  -1.4049E-01
   2.0142E+00  -1.4070E-01
   2.0142E+00  -1.4285E-01
   2.0143E+00  -1.4438E-01
   2.0144E+00  -1.4522E-01
   2.0146E+00  -1.4544E-01
   2.0148E+00  -1.4552E-01
   2.0154E+00  -1.4547E-01
   2.0162E+00  -1.4547E-01
   2.0178E+00  -1.4546E-01
   2.0204E+00  -1.4551E-01
   2.0249E+00  -1.4559E-01
   2.0324E+00  -1.4556E-01
   2.0399E+00  -1.4426E-01
   2.0474E+00  -1.4321E-01
   2.0549E+00  -1.4231E-01
   2.0624E+00  -1.4153E-01
   2.0699E+00  -1.4087E-01
   2.0774E+00  -1.4029E-01
   2.0849E+00  -1.3980E-01
   2.0924E+00  -1.3951E-01
   2.0999E+00  -1.3921E-01
   2.1074E+00  -1.3884E-01
   2.1149E+00  -1.3840E-01
   2.1224E+00  -1.3789E-01
   2.1299E+00  -1.3736E-01
   2.1374E+00  -1.3681E-01
   2.1449E+00  -1.3630E-01
   2.1524E+00  -1.3581E-01
   2.1599E+00  -1.3538E-01
   2.1674E+00  -1.3529E-01
   2.1749E+00  -1.3516E-01
   2.1824E+00  -1.3499E-01
   2.1899E+00  -1.3476E-01
   2.1974E+00  -1.3443E-01
   2.2049E+00  -1.3406E-01
   2.2124E+00  -1.3366E-01
   2.2199E+00  -1.3327E-01
   2.2274E+00  -1.3289E-01
   2.2349E+00  -1.3300E-01
   2.2423E+00  -1.3325E-01
   2.2496E+00  -1.3344E-01
   2.2571E+00  -1.3356E-01
   2.2646E+00  -1.3355E-01
   2.2721E+00  -1.3344E-01
   2.2796E+00  -1.3325E-01
   2.2871E+00  -1.3303E-01
   2.2946E+00  -1.3282E-01
   2.3021E+00  -1.3263E-01
   2.3096E+00  -1.3249E-01
   2.3171E+00  -1.3273E-01
   2.3246E+00  -1.3292E-01
   2.3321E+00  -1.3305E-01
   2.3396E+00  -1.3307E-01
   2.3471E+00  -1.3298E-01
   2.3546E+00  -1.3283E-01
   2.3621E+00  -1.3263E-01
   2.3696E+00  -1.3217E-01
   2.3738E+00  -1.3195E-01
   2.3738E+00  -1.3180E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2896E-01
   2.3738E+00  -1.2895E-01
   2.3739E+00  -1.2895E-01
   2.3739E+00  -1.2893E-01
   2.3740E+00  -1.2891E-01
   2.3742E+00  -1.2900E-01
   2.3744E+00  -1.3015E-01
   2.3749E+00  -1.3110E-01
   2.3757E+00  -1.3155E-01
   2.3770E+00  -1.3170E-01
   2.3794E+00  -1.3166E-01
   2.3833E+00  -1.3154E-01
   2.3901E+00  -1.3121E-01
   2.3956E+00  -1.3135E-01
   2.3985E+00  -1.3201E-01
   2.3985E+00  -1.3299E-01
   2.3985E+00  -2.1833E-01
   2.3985E+00  -2.1835E-01
   2.3985E+00  -2.1836E-01
   2.3985E+00  -2.1838E-01
   2.3985E+00  -2.1840E-01
   2.3985E+00  -2.1840E-01
   2.3985E+00  -2.1841E-01
   2.3985E+00  -2.1841E-01
   2.3986E+00  -2.1842E-01
   2.3986E+00  -2.1847E-01
   2.3986E+00  -2.1848E-01
   2.3986E+00  -2.1851E-01
   2.3986E+00  -2.1854E-01
   2.3986E+00  -2.1858E-01
   2.3986E+00  -2.1863E-01
   2.3986E+00  -2.1869E-01
   2.3986E+00  -2.2765E-01
   2.3986E+00  -2.2774E-01
   2.3986E+00  -2.2783E-01
   2.3986E+00  -2.2794E-01
   2.3986E+00  -2.2806E-01
   2.3986E+00  -2.2821E-01
   2.3986E+00  -2.2839E-01
   2.3986E+00  -2.2860E-01
   2.3986E+00  -2.2886E-01
   2.3986E+00  -2.0972E-01
   2.3986E+00  -1.6927E-01
   2.3986E+00  -1.4194E-01
   2.3986E+00  -1.2858E-01
   2.3987E+00  -1.2857E-01
   2.3987E+00  -1.2857E-01
   2.3987E+00  -1.2857E-01
   2.3987E+00  -1.2856E-01
   2.3987E+00  -1.2856E-01
   2.3987E+00  -1.2856E-01
   2.3987E+00  -1.2856E-01
   2.3987E+00  -1.2856E-01
   2.3987E+00  -1.2855E-01
   2.3987E+00  -1.2855E-01
   2.3987E+00  -1.2855E-01
   2.3987E+00  -1.2854E-01
   2.3988E+00  -1.2853E-01
   2.3988E+00  -1.2852E-01
   2.3988E+00  -1.2852E-01
   2.3988E+00  -1.3001E-01
   2.3988E+00  -1.3083E-01
   2.3988E+00  -1.3122E-01
   2.3988E+00  -1.3166E-01
   2.3988E+00  -1.3261E-01
   2.3989E+00  -1.3241E-01
   2.3989E+00  -1.3250E-01
   2.3989E+00  -1.3222E-01
   2.3989E+00  -1.2850E-01
   2.3989E+00  -1.2850E-01
   2.3989E+00  -1.3019E-01
   2.3989E+00  -1.3162E-01
   2.3990E+00  -1.3234E-01
   2.3990E+00  -1.3254E-01
   2.3990E+00  -1.3245E-01
   2.3991E+00  -1.3226E-01
   2.3991E+00  -1.3209E-01
   2.3991E+00  -1.3196E-01
   2.3991E+00  -1.2850E-01
   2.3991E+00  -1.2850E-01
   2.3991E+00  -1.2850E-01
   2.3991E+00  -1.2850E-01
   2.3991E+00  -1.2895E-01
   2.3991E+00  -1.3014E-01
   2.3991E+00  -1.2850E-01
   2.3991E+00  -1.2898E-01
   2.3991E+00  -1.3057E-01
   2.3991E+00  -1.3168E-01
   2.3992E+00  -1.3216E-01
   2.3992E+00  -1.3224E-01
   2.3993E+00  -1.3213E-01
   2.3993E+00  -1.3195E-01
   2.3994E+00  -1.3169E-01
   2.3994E+00  -1.3122E-01
   2.3994E+00  -1.2999E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2849E-01
   2.3994E+00  -1.2930E-01
   2.3994E+00  -1.3058E-01
   2.3994E+00  -1.3134E-01
   2.3994E+00  -1.3167E-01
   2.3994E+00  -1.3176E-01
   2.3994E+00  -1.3224E-01
   2.3995E+00  -1.3191E-01
   2.3995E+00  -1.3226E-01
   2.3995E+00  -1.3183E-01
   2.3995E+00  -1.3226E-01
   2.3995E+00  -1.3157E-01
   2.3996E+00  -1.3149E-01
   2.3996E+00  -1.3137E-01
   2.3996E+00  -1.3145E-01
   2.3997E+00  -1.3143E-01
   2.3997E+00  -1.3155E-01
   2.3997E+00  -1.3153E-01
   2.3997E+00  -1.3159E-01
   2.3998E+00  -1.3153E-01
